ANP,SECTOR,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,PROCEDENCIA,EDAD,FECHA,VISITAS_E1,VISITAS_E2A3,VISITAS_E3A30,FECHA_CORTE,TIPO_ESTADIA_PREDOMINANTE,ANIO,MES
PN de Tingo María,Quinceañera,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606.0,NACIONAL,MENOR,20220531,9,0,0,20240527,1 día,2022,5
RN Tambopata,Sandoval,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,LOCAL,ADULTO,20231130,17,1,0,20240527,1 día,2023,11
SH Bosque de Pomac,No especificado,LAMBAYEQUE,FERREÑAFE,PITIPO,140205.0,NACIONAL,ADULTO,20220430,276,0,0,20240527,1 día,2022,4
PN Huascarán,Llanganuco,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,LOCAL,MENOR,20230531,4,0,0,20240527,1 día,2023,5
"RN Sistema de Islas, Islotes y Puntas Guaneras",Islas Cavinza e Islotes Palomino,No especificado,No especificado,No especificado,0.0,EXTRANJERO,ADULTO MAYOR,20231031,193,0,0,20240527,1 día,2023,10
PN del Río Abiseo,No especificado,SAN MARTIN,MARISCAL CACERES,HUICUNGO,220603.0,NACIONAL,MENOR,20221031,3,0,0,20240527,1 día,2022,10
SH de Chacamarca,No especificado,JUNIN,JUNIN,JUNIN,120501.0,NACIONAL,ADULTO,20230630,110,0,0,20240527,1 día,2023,6
RN Pacaya-Samiria,Samiria,LORETO,LORETO,PARINARI,160302.0,EXTRANJERO,ADULTO MAYOR,20220831,15,10,0,20240527,1 día,2022,8
SN de Ampay,No especificado,APURIMAC,ABANCAY,TAMBURCO,30109.0,LOCAL,ADULTO,20220630,159,0,0,20240527,1 día,2022,6
SH Machupicchu,"Ruta 1, 2, 3 y 5",CUSCO,URUBAMBA,MACHUPICCHU,81304.0,EXTRANJERO,MENOR,20221130,0,0,51,20240527,3 a 30 días,2022,11
"RN Sistema de Islas, Islotes y Puntas Guaneras",Islas Ballestas,No especificado,No especificado,No especificado,0.0,LOCAL,ADULTO,20220930,280,0,0,20240527,1 día,2022,9
SH de la Pampa de Ayacucho,No especificado,AYACUCHO,HUAMANGA,QUINUA,50108.0,NACIONAL,MENOR,20220630,546,0,0,20240527,1 día,2022,6
PN Yanachaga-Chemillén,San Alberto,PASCO,OXAPAMPA,PALCAZU,190304.0,NACIONAL,MENOR,20231031,14,0,0,20240527,1 día,2023,10
SN los Manglares de Tumbes,No especificado,TUMBES,ZARUMILLA,ZARUMILLA,240301.0,NACIONAL,MENOR,20221130,5,0,0,20240527,1 día,2022,11
PN del Manu,Río Manu,MADRE DE DIOS,MANU,MANU,170201.0,NACIONAL,ADULTO,20230731,1,0,0,20240527,1 día,2023,7
PN de Tingo María,Tres de Mayo,HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606.0,EXTRANJERO,ADULTO,20230228,1,0,0,20240527,1 día,2023,2
SN de Huayllay,No especificado,PASCO,PASCO,HUAYLLAY,190104.0,NACIONAL,INFANTE,20221231,59,0,0,20240527,1 día,2022,12
RN de Paracas,BE,ICA,No especificado,No especificado,0.0,NACIONAL,MENOR,20230228,5,0,0,20240527,1 día,2023,2
RN Pacaya-Samiria,Pacaya,LORETO,LORETO,PARINARI,160302.0,NACIONAL,ADULTO,20230228,1,0,0,20240527,1 día,2023,2
PN del Río Abiseo,No especificado,SAN MARTIN,MARISCAL CACERES,HUICUNGO,220603.0,NACIONAL,MENOR,20230930,1,1,0,20240527,1 día,2023,9
RN de Paracas,No especificado,ICA,No especificado,No especificado,0.0,EXTRANJERO,MENOR,20230430,127,0,0,20240527,1 día,2023,4
PN Huascarán,Churup,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,LOCAL,ADULTO,20231130,147,0,0,20240527,1 día,2023,11
"RN Sistema de Islas, Islotes y Puntas Guaneras",Islas Cavinza e Islotes Palomino,No especificado,No especificado,No especificado,0.0,EXTRANJERO,MENOR,20220831,46,0,0,20240527,1 día,2022,8
RN Pacaya-Samiria,Nauta Caño,LORETO,LORETO,PARINARI,160302.0,NACIONAL,ADULTO,20230731,52,0,0,20240527,1 día,2023,7
RN Tambopata,Sandoval,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,EXTRANJERO,INFANTE,20220930,1,0,0,20240527,1 día,2022,9
SN de Ampay,No especificado,APURIMAC,ABANCAY,TAMBURCO,30109.0,NACIONAL,ADULTO,20220930,32,0,0,20240527,1 día,2022,9
"RN Sistema de Islas, Islotes y Puntas Guaneras",Islas Ballestas,No especificado,No especificado,No especificado,0.0,NACIONAL,ADULTO,20221231,20172,0,0,20240527,1 día,2022,12
PN Huascarán,Ulta (Pico Mateo),ANCASH,HUARAZ,INDEPENDENCIA,20105.0,NACIONAL,ADULTO,20230331,0,65,0,20240527,2 a 3 días,2023,3
"RN Sistema de Islas, Islotes y Puntas Guaneras",Islas Ballestas,No especificado,No especificado,No especificado,0.0,NACIONAL,INFANTE,20230430,447,0,0,20240527,1 día,2023,4
"RN Sistema de Islas, Islotes y Puntas Guaneras",Isla Cavinzas e Islotes Palomino,No especificado,No especificado,No especificado,0.0,NACIONAL,ADULTO MAYOR,20220131,29,0,0,20240527,1 día,2022,1
RN de Junín,No especificado,JUNIN,No especificado,No especificado,0.0,NACIONAL,ADULTO,20230930,2,0,0,20240527,1 día,2023,9
SN Lagunas de Mejía,No especificado,AREQUIPA,ISLAY,DEAN VALDIVIA,40703.0,LOCAL,ADULTO,20231130,26,0,0,20240527,1 día,2023,11
RN del Titicaca,Uros Chulluni,PUNO,HUANCANE,HUANCANE,210601.0,NACIONAL,ADULTO,20230228,250,0,0,20240527,1 día,2023,2
